Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
156_25ml,650.295,123.43,308.229,81.05,141.525,137.745,18.74,20.861,81.947,29.304,52.562,6.008,11.81,11.918,21.17,53.248,10.37,5.933,2635.5,36.4,15.59,2,7.811,0.15,0.21,0.53
156_50ml,783.174,166.779,450.33,86.535,175.088,156.481,21.111,22.664,94.892,31.64,61.739,6.476,12.778,12.72,23.986,62.635,10.95,6.022,2479.6,36.5,21.35,2,6.981,0.15,0.21,0.53
15_0ml,787.793,169.456,421.31,108.825,210.52,189.393,33.744,40.048,185.504,55.75,120.483,10.408,22.893,21.738,46.96,162.835,17.86,7.259,2647.7,36.73,0,0,7.304,0,0,0
15_25ml,695.078,136.83,345.5,89.827,163.922,158.449,23.162,27.533,113.27,39.55,70.714,7.618,15.208,15.378,29.03,86.942,12.67,6.2,2378.9,36.8,20.34,2,7.05,0.15,0.21,0.53
15_50ml,683.384,134.92,346.86,91.941,167.145,164.833,21.796,24.379,119.395,35.03,90.962,7.762,16.666,16.749,30.73,111.356,13.25,6.2,2366,36.89,25.25,2.061,7.917,0.159,0.21,0.539
168_0ml,738.63,156.92,397.008,99.878,198.54,175.076,28.18,33.297,165.74,47.08,105.223,9.337,20.626,19.08,41.32,138.972,16.188,6.992,2661.6,37.5,0,0,7.726,0,0,0
168_25ml,695.54,137.79,340.424,89.07,158.83,148.485,22.48,25.975,111.535,36.16,67.324,7.654,14.236,13.77,27.32,81.745,12.67,6.2,2392.3,37.6,13.75,1.802,7.663,0.14,0.192,0.5
168_50ml,700.234,139.028,344.956,88.14,158.305,149.465,20.883,24.504,101.364,35.334,64.43,6.975,14.155,14.09,25.61,73.245,12.1,6.2,2316.7,37.6,23.72,2.007,7.201,0.15,0.21,0.531
171_0ml,686.464,133.96,335.89,87.803,158.08,148.482,24.349,28.225,109.683,39.93,68.422,7.654,14.074,14.17,28.085,80.533,12.1,6.288,2647.4,35.27,0,0,7.588,0,0,0
171_25ml,665.992,127.26,318.93,83.415,145.34,141.045,20.109,22.909,87.494,32.057,55.653,6.439,12.051,12.56,22.2,60.536,10.37,6.022,2474.6,35.4,11.83,1.738,7.928,0.14,0.19,0.49
171_50ml,662.382,125.73,318.027,82.568,145.34,140.343,19.882,22.049,88.418,30.89,55.754,6.404,12.05,12.48,23.05,62.194,10.37,6.111,2338.5,35.5,23.38,2,7.873,0.15,0.21,0.53
179_0ml,753.242,156.92,392.66,100.72,192.54,177.462,28.544,34.648,151.411,50.47,93.153,8.977,18.772,17.873,37.56,118.755,14.748,6.992,2637.7,32.67,0,0,7.815,0,0,0
179_25ml,697.388,135.775,336.43,90.673,160.78,156.411,21.752,25.032,105.985,35.669,64.233,7.15,14.56,14.733,26.47,76.112,11.52,6.2,2353.2,32.84,0,1.176,7.132,0.11,0.15,0.39
179_50ml,684.77,135.87,344.23,87.887,160.405,156.833,20.792,24.054,105.64,34.764,65.724,6.939,14.803,14.976,27.32,76.114,11.52,6.2,2353.2,33.25,19.52,2,7.39,0.15,0.21,0.53
180_0ml,740.391,154.05,385.218,101.06,188.8,177.673,30.598,36.41,155.916,50.546,103.329,9.48,19.096,18.359,38.42,130.578,15.379,6.992,2632.2,36,0,0,6.966,0,0,0
180_25ml,678.764,133,335.075,87.719,159.055,155.64,23.892,26.631,114.192,36.236,70.614,7.224,15.37,15.218,28.256,82.743,12.1,6.2,2435.3,36.17,14.03,1.581,7.372,0.13,0.18,0.46
180_50ml,687.307,133.288,332.442,85.777,155.23,152.692,22.706,25.729,114.769,35.78,69.615,7.115,15.532,15.219,26.81,71.807,11.52,6.111,2333.8,36.3,31.9,2.787,7.42,0.19,0.26,0.666
181_0ml,736.166,150.508,376.24,98.27,179.51,168.271,29.64,35.466,154.184,50.85,101.432,9.228,18.609,17.871,37.56,132.015,14.98,7.08,2645.6,36.9,0,0,7.702,0,0,0
181_25ml,705.617,137.79,346.95,89.661,160.48,155.148,22.434,26.18,126.213,36.54,75.303,7.474,16.018,15.701,29.965,95.225,12.1,6.2,2390.8,37,0,1,7.914,0.1,0.14,0.36
181_50ml,719.082,141.899,360.644,90.674,165.945,159.779,22.662,26.712,121.241,37.366,78.294,7.366,15.937,15.701,30.73,105.059,12.1,6.2,2352.6,37.09,18.08,1.9,7.104,0.145,0.203,0.513
185_0ml,824.492,181.704,449.426,114.483,227.31,199.145,40.083,47.983,219.142,65.049,131.752,12.125,26.376,24.475,53.704,181.946,20.682,7.97,2647.2,38.4,0,0,7.296,0,0,0
185_25ml,703.461,139.7,342.78,92.025,164.82,151.568,27.952,32.399,128.758,43.69,79.689,8.942,15.208,15.058,31.59,99.091,14.4,6.728,2320.7,38.4,13.7,2,7.114,0.15,0.21,0.53
185_50ml,673.23,133.768,330.902,90.42,161.305,149.113,27.495,32.4,136.73,46.33,83.78,8.694,15.694,15.379,33.3,100.858,14.98,6.552,2310.7,38.4,30.35,3.576,7.279,0.231,0.317,0.799
187_0ml,791.559,166.49,417.14,104.096,203.78,179.569,31.688,38.779,176.953,56.614,111.502,10.443,21.678,20.209,45.164,153.774,19.01,7.08,2622,37.39,0,0,7.982,0,0,0
187_25ml,902.816,183.523,464.658,101.901,207.23,182.094,25.352,29.412,135.807,42.94,90.063,8.446,17.314,15.699,35.86,128.258,16.13,6.2,2441.3,37.4,14.85,2,6.939,0.15,0.21,0.53
187_50ml,742.855,147.35,363.64,93.628,173.06,160.203,26.629,31.171,124.363,42.94,77.496,8.625,17.395,17.711,32.44,101.412,14.4,6.552,2317.7,37.3,22.03,2,7.666,0.15,0.21,0.53
192_0ml,765.174,160.462,387.22,102.154,198.54,173.181,32.284,38.739,167.127,53.86,99.036,10.444,20.384,17.955,39.27,125.053,17.86,6.992,2655.7,38,0,0,7.881,0,0,0
192_25ml,694.539,135.68,327.908,89.831,157.33,148.409,23.755,26.917,113.961,36.723,73.21,7.474,14.398,14.33,28,85.063,12.67,6.465,2395.7,37.91,11.47,1.418,7.211,0.122,0.172,0.434
192_50ml,732.24,146.014,337.703,88.395,148.34,143.64,25.35,28.879,103.329,38.985,72.911,7.368,13.507,14.09,26.47,80.752,12.1,6.2,2316.6,37.9,25.84,2.014,7.486,0.15,0.21,0.531
